Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-03-01,112.5,115.0,110.0,112.5,1105,0,0
1996-03-04,117.5,117.5,117.5,117.5,0,0,0
1996-03-05,115.0,117.5,105.0,115.0,2010,0,0
1996-03-06,117.5,117.5,110.0,117.5,1565,0,0
1996-03-07,105.0,117.5,105.0,105.0,1030,0,0
1996-03-08,105.0,117.5,105.0,105.0,2250,0,0
1996-03-11,105.0,105.0,105.0,105.0,100,0,0
1996-03-12,105.0,105.0,105.0,105.0,640,0,0
1996-03-13,105.0,117.5,105.0,105.0,920,0,0
1996-03-14,105.0,105.0,105.0,105.0,5,0,0
1996-03-15,105.0,117.5,105.0,105.0,1730,0,0
1996-03-18,112.5,115.0,105.0,112.5,500,0,0
1996-03-19,111.26000213623047,117.5,107.5,111.26000213623047,1600,0,0
1996-03-20,105.0,117.5,105.0,105.0,310,0,0
1996-03-21,107.5,115.0,105.0,107.5,500,0,0
1996-03-22,107.5,112.5,107.5,107.5,1780,0,0
1996-03-25,115.0,115.0,115.0,115.0,420,0,0
1996-03-26,107.5,115.0,105.0,107.5,825,0,0
1996-03-27,107.5,115.0,100.0,107.5,470,0,0
1996-03-28,110.0,110.0,110.0,110.0,150,0,0
1996-03-29,115.0,115.0,105.0,115.0,1075,0,0
1996-04-01,110.0,115.0,110.0,110.0,140,0,0
1996-04-02,113.76000213623047,115.0,105.0,113.76000213623047,4245,0,0
1996-04-03,115.0,115.0,115.0,115.0,160,0,0
1996-04-04,115.0,115.0,105.0,115.0,2925,0,0
1996-04-08,107.5,115.0,107.5,107.5,1150,0,0
1996-04-09,115.0,120.0,105.0,115.0,360,0,0
1996-04-10,125.0,125.0,115.0,125.0,940,0,0
1996-04-11,105.0,125.0,105.0,105.0,185,0,0
1996-04-12,130.0,130.0,119.05999755859375,130.0,1535,0,0
1996-04-15,122.5,135.0,120.0,122.5,2830,0,0
1996-04-16,135.0,140.0,127.5,135.0,610,0,0
1996-04-17,130.0,150.0,130.0,130.0,495,0,0
1996-04-18,152.5,165.0,140.0,152.5,6465,0,0
1996-04-19,162.5,165.0,150.0,162.5,3030,0,0
1996-04-22,152.5,162.5,150.0,152.5,780,0,0
1996-04-23,162.5,162.5,150.0,162.5,7400,0,0
1996-04-24,162.5,170.0,152.5,162.5,3895,0,0
1996-04-25,150.0,170.0,150.0,150.0,370,0,0
1996-04-26,170.0,170.0,150.0,170.0,4230,0,0
1996-04-29,187.5,187.5,167.5,187.5,1270,0,0
1996-04-30,177.5,187.5,167.5,177.5,3510,0,0
1996-05-01,182.5,187.5,167.5,182.5,13930,0,0
1996-05-02,170.0,187.5,170.0,170.0,4235,0,0
1996-05-03,170.0,187.5,170.0,170.0,1880,0,0
1996-05-06,170.0,182.5,170.0,170.0,1930,0,0
1996-05-07,170.0,175.0,170.0,170.0,375,0,0
1996-05-08,182.5,187.5,170.0,182.5,1255,0,0
1996-05-09,170.0,187.5,170.0,170.0,100,0,0
1996-05-10,170.0,180.0,170.0,170.0,20,0,0
1996-05-13,182.5,187.5,170.0,182.5,1670,0,0
1996-05-14,177.5,182.5,177.5,177.5,180,0,0
1996-05-15,180.0,182.5,177.5,180.0,2685,0,0
1996-05-16,180.0,183.75999450683594,177.5,180.0,2170,0,0
1996-05-17,187.5,187.5,177.5,187.5,295,0,0
1996-05-20,177.5,187.5,177.5,177.5,495,0,0
1996-05-21,182.5,187.5,177.5,182.5,4590,0,0
1996-05-22,187.5,187.5,177.5,187.5,745,0,0
1996-05-23,187.5,187.5,177.5,187.5,35,0,0
1996-05-24,177.5,187.5,177.5,177.5,120,0,0
1996-05-28,187.5,187.5,177.5,187.5,2280,0,0
1996-05-29,177.5,187.5,177.5,177.5,385,0,0
1996-05-30,177.5,177.5,177.5,177.5,50,0,0
1996-05-31,180.0,187.5,177.5,180.0,165,0,0
1996-06-03,180.0,180.0,177.5,180.0,1865,0,0
1996-06-04,177.5,180.0,177.5,177.5,2650,0,0
1996-06-05,177.5,180.0,177.5,177.5,1350,0,0
1996-06-06,177.5,187.5,177.5,177.5,520,0,0
1996-06-07,180.0,180.0,177.5,180.0,495,0,0
1996-06-10,180.0,180.0,177.5,180.0,450,0,0
1996-06-11,172.5,180.0,172.5,172.5,335,0,0
1996-06-12,172.5,172.5,172.5,172.5,115,0,0
1996-06-13,172.5,172.5,172.5,172.5,55,0,0
1996-06-17,172.5,192.5,172.5,172.5,190,0,0
1996-06-18,162.5,180.0,162.5,162.5,340,0,0
1996-06-19,182.5,182.5,162.5,182.5,45,0,0
1996-06-20,142.5,177.5,142.5,142.5,1200,0,0
1996-06-21,147.5,157.5,142.5,147.5,440,0,0
1996-06-24,132.5,147.5,132.5,132.5,220,0,0
1996-06-25,137.5,140.0,125.0,137.5,420,0,0
1996-06-28,125.0,132.5,125.0,125.0,130,0,0
1996-07-02,150.0,150.0,136.8800048828125,150.0,620,0,0
1996-07-08,150.0,150.0,150.0,150.0,20,0,0
1996-07-09,135.0,135.0,135.0,135.0,50,0,0
1996-07-10,142.5,142.5,142.5,142.5,25,0,0
